time                 Bx     By     Bz   B
2014-11-22 10:43:33   -11   -214  -468  514  
2014-11-22 10:43:49   -14   -215  -465  512  
2014-11-22 10:44:19   -17   -211  -462  508  
2014-11-22 10:44:49   -20   -211  -466  511  
2014-11-22 10:45:19   -14   -215  -459  507  
2014-11-22 10:45:49   -13   -212  -465  511  
2014-11-22 10:46:19   -8    -214  -467  513  
2014-11-22 10:46:49   -10   -213  -461  507  
2014-11-22 10:47:20   -8    -212  -462  508  
2014-11-22 10:47:49   -8    -212  -457  503  
2014-11-22 10:48:19   -17   -213  -466  512  
2014-11-22 10:48:49   -14   -206  -465  508  
2014-11-22 10:49:19   -16   -208  -460  505  
2014-11-22 10:49:49   -17   -211  -468  513  
2014-11-22 10:50:19   -16   -210  -461  506  
2014-11-22 10:50:49   -16   -208  -460  505  
2014-11-22 10:51:19   -13   -209  -474  518  
2014-11-22 10:51:49   -16   -208  -462  506  
2014-11-22 10:52:19   -14   -206  -475  517  
2014-11-22 10:52:49   -12   -203  -463  505  
2014-11-22 10:53:19   -18   -203  -458  501  
2014-11-22 10:53:49   -17   -214  -464  511  
2014-11-22 10:54:19   -13   -213  -458  505  
2014-11-22 10:54:49   -14   -212  -464  510  
2014-11-22 10:55:19   -7    -212  -469  514  
2014-11-22 10:55:49   -2    -217  -466  514  
2014-11-22 10:56:19   +5    -226  -460  512  
2014-11-22 10:56:49   -1    -229  -460  513  
2014-11-22 10:57:19   +5    -226  -457  509  
2014-11-22 10:57:49   +7    -220  -452  502  
2014-11-22 10:58:19   +2    -222  -451  502  
2014-11-22 10:58:49   +7    -227  -445  499  
2014-11-22 10:59:19   +6    -231  -445  501  
2014-11-22 10:59:49   +8    -237  -453  511  
2014-11-22 11:00:19   +10   -228  -452  506  
2014-11-22 11:00:49   +7    -230  -456  510  
2014-11-22 11:01:19   +6    -227  -444  498  
2014-11-22 11:01:49   +9    -233  -447  504  
2014-11-22 11:02:19   +11   -228  -448  502  
2014-11-22 11:02:49   +10   -233  -444  501  
2014-11-22 11:03:19   +11   -231  -445  501  
2014-11-22 11:03:49   +13   -233  -450  506  
2014-11-22 11:04:19   +6    -236  -442  501  
2014-11-22 11:04:49   +10   -233  -445  502  
2014-11-22 11:05:19   +9    -236  -443  502  
2014-11-22 11:05:49   +10   -238  -447  506  
2014-11-22 11:06:19   +9    -231  -449  505  
2014-11-22 11:06:49   +8    -236  -451  509  
2014-11-22 11:07:19   +10   -235  -457  513  
2014-11-22 11:07:49   +11   -236  -450  508  
2014-11-22 11:08:19   +10   -236  -447  505  
2014-11-22 11:08:49   +11   -234  -445  502  
2014-11-22 11:09:19   +11   -237  -444  503  
2014-11-22 11:09:49   +12   -239  -443  503  
2014-11-22 11:10:19   +13   -236  -448  506  
2014-11-22 11:10:49   +16   -236  -449  507  
2014-11-22 11:11:19   +19   -235  -450  508  
2014-11-22 11:11:49   +14   -234  -454  510  
2014-11-22 11:12:19   +15   -241  -445  506  
2014-11-22 11:12:49   +14   -234  -440  498  
2014-11-22 11:13:19   +9    -236  -441  500  
2014-11-22 11:13:49   +13   -237  -449  507  
2014-11-22 11:14:19   +15   -245  -448  510  
2014-11-22 11:14:50   +14   -236  -451  509  
2014-11-22 11:15:19   +17   -236  -444  503  
2014-11-22 11:15:49   +14   -235  -438  497  
2014-11-22 11:16:19   +12   -237  -445  504  
2014-11-22 11:16:49   +12   -241  -441  502  
2014-11-22 11:17:19   +17   -235  -442  500  
2014-11-22 11:17:49   +22   -236  -442  501  
2014-11-22 11:18:19   +17   -238  -450  509  
2014-11-22 11:18:49   +15   -235  -443  501  
2014-11-22 11:19:19   +18   -239  -443  503  
2014-11-22 11:19:49   +21   -245  -440  504  
2014-11-22 11:20:19   +20   -236  -446  504  
2014-11-22 11:20:49   +13   -237  -437  497  
2014-11-22 11:21:19   +17   -237  -436  496  
2014-11-22 11:21:49   +16   -239  -448  508  
2014-11-22 11:22:19   +14   -237  -451  509  
2014-11-22 11:22:49   +14   -239  -453  512  
2014-11-22 11:23:19   +11   -240  -443  503  
2014-11-22 11:23:49   +14   -236  -448  506  
2014-11-22 11:24:19   +20   -233  -453  509  
2014-11-22 11:24:49   +17   -235  -450  507  
2014-11-22 11:25:19   +12   -236  -445  503  
2014-11-22 11:25:49   +16   -238  -441  501  
2014-11-22 11:26:19   +14   -239  -448  507  
2014-11-22 11:26:49   +12   -238  -447  506  
2014-11-22 11:27:19   +15   -239  -444  504  
2014-11-22 11:27:49   +18   -238  -444  504  
2014-11-22 11:28:19   +12   -238  -449  508  
2014-11-22 11:28:49   +15   -234  -445  502  
2014-11-22 11:29:19   +11   -236  -456  513  
2014-11-22 11:29:49   +13   -243  -451  512  
2014-11-22 11:30:19   +15   -243  -448  509  
2014-11-22 11:30:49   +15   -238  -450  509  
2014-11-22 11:31:19   +17   -237  -446  505  
2014-11-22 11:31:49   +17   -238  -446  505  
2014-11-22 11:32:19   +15   -234  -444  502  
2014-11-22 11:32:49   +10   -240  -447  507  
2014-11-22 11:33:19   +17   -237  -444  503  
2014-11-22 11:33:49   +13   -242  -455  515  
2014-11-22 11:34:19   +13   -240  -447  507  
2014-11-22 11:34:49   +12   -236  -450  508  
2014-11-22 11:35:19   +17   -241  -456  516  
2014-11-22 11:35:49   +16   -237  -452  510  
2014-11-22 11:36:19   +22   -237  -444  503  
2014-11-22 11:36:49   +20   -238  -454  512  
2014-11-22 11:37:19   +14   -238  -453  511  
2014-11-22 11:37:49   +17   -241  -457  516  
2014-11-22 11:38:19   +16   -241  -455  515  
2014-11-22 11:38:49   +16   -245  -451  513  
2014-11-22 11:39:19   +17   -243  -451  512  
2014-11-22 11:39:49   +22   -240  -459  518  
2014-11-22 11:40:19   +18   -240  -451  511  
2014-11-22 11:40:49   +17   -239  -449  508  
2014-11-22 11:41:19   +20   -239  -442  502  
2014-11-22 11:41:49   +19   -243  -442  504  
2014-11-22 11:42:19   +18   -237  -444  503  
2014-11-22 11:42:49   +14   -239  -448  507  
2014-11-22 11:43:19   +15   -237  -453  511  
2014-11-22 11:43:49   +18   -236  -441  500  
2014-11-22 11:44:19   +14   -234  -448  505  
2014-11-22 11:44:49   +14   -236  -453  510  
2014-11-22 11:45:19   +16   -237  -444  503  
2014-11-22 11:45:49   +18   -236  -446  504  
2014-11-22 11:46:19   +18   -236  -447  505  
2014-11-22 11:46:49   +13   -234  -454  510  
2014-11-22 11:47:19   +16   -236  -440  499  
2014-11-22 11:47:49   +12   -236  -440  499  
2014-11-22 11:48:19   +15   -232  -448  504  
2014-11-22 11:48:49   +11   -239  -446  506  
2014-11-22 11:49:19   +16   -237  -445  504  
2014-11-22 11:49:49   +19   -235  -449  507  
2014-11-22 11:50:19   +18   -239  -451  510  
2014-11-22 11:50:49   +16   -240  -449  509  
2014-11-22 11:51:19   +16   -238  -449  508  
2014-11-22 11:51:49   +17   -238  -443  503  
2014-11-22 11:52:19   +14   -242  -441  503  
2014-11-22 11:52:49   +17   -240  -443  504  
2014-11-22 11:53:19   +17   -236  -447  505  
2014-11-22 11:53:49   +16   -239  -448  508  
2014-11-22 11:54:19   +15   -239  -455  514  
2014-11-22 11:54:49   +15   -233  -449  506  
2014-11-22 11:55:19   +14   -237  -453  511  
2014-11-22 11:55:49   +16   -239  -454  513  
2014-11-22 11:56:19   +16   -240  -447  507  
2014-11-22 11:56:49   +16   -239  -451  510  
2014-11-22 11:57:19   +17   -236  -449  507  
2014-11-22 11:57:49   +17   -237  -449  507  
2014-11-22 11:58:19   +13   -237  -455  513  
2014-11-22 11:58:49   +13   -236  -448  506  
2014-11-22 11:59:19   +16   -240  -445  505  
2014-11-22 11:59:49   +19   -234  -448  505  
2014-11-22 12:00:19   +16   -240  -446  506  
2014-11-22 12:00:49   +21   -239  -443  503  
2014-11-22 12:01:19   +23   -241  -449  510  
2014-11-22 12:01:49   +17   -244  -452  513  
2014-11-22 12:02:19   +16   -238  -443  503  
2014-11-22 12:02:49   +18   -235  -449  507  
2014-11-22 12:03:19   +16   -236  -448  506  
2014-11-22 12:03:49   +15   -235  -445  503  
2014-11-22 12:04:19   +10   -237  -446  505  
2014-11-22 12:04:49   +13   -237  -448  506  
2014-11-22 12:05:19   +20   -237  -457  515  
2014-11-22 12:05:49   +14   -237  -450  508  
2014-11-22 12:06:19   +14   -238  -440  500  
2014-11-22 12:06:49   +11   -242  -449  510  
2014-11-22 12:07:19   +16   -239  -448  508  
2014-11-22 12:07:49   +13   -239  -446  506  
2014-11-22 12:08:19   +13   -241  -449  509  
2014-11-22 12:08:49   +17   -240  -446  506  
2014-11-22 12:09:19   +14   -238  -452  511  
2014-11-22 12:09:50   +13   -239  -450  509  
2014-11-22 12:10:19   +12   -238  -444  503  
2014-11-22 12:10:49   +18   -242  -448  509  
2014-11-22 12:11:19   +16   -238  -443  503  
2014-11-22 12:11:49   +10   -238  -454  512  
2014-11-22 12:12:19   +9    -241  -446  507  
2014-11-22 12:12:49   +17   -240  -444  505  
2014-11-22 12:13:19   +12   -244  -440  503  
2014-11-22 12:13:49   +13   -243  -451  512  
2014-11-22 12:14:19   +12   -244  -453  514  
2014-11-22 12:14:49   +13   -243  -452  513  
2014-11-22 12:15:19   +13   -242  -448  509  
2014-11-22 12:15:49   +8    -241  -442  503  
2014-11-22 12:16:19   +11   -245  -439  502  
2014-11-22 12:16:49   +11   -240  -444  504  
2014-11-22 12:17:19   +15   -239  -445  505  
2014-11-22 12:17:49   +18   -241  -442  503  
2014-11-22 12:18:19   +12   -245  -447  509  
2014-11-22 12:18:49   +22   -238  -444  504  
2014-11-22 12:19:19   +20   -238  -441  501  
2014-11-22 12:19:49   +16   -237  -445  504  
2014-11-22 12:20:19   +16   -240  -437  498  
2014-11-22 12:20:49   +14   -243  -443  505  
2014-11-22 12:21:19   +14   -241  -439  500  
2014-11-22 12:21:49   +17   -240  -442  503  
2014-11-22 12:22:19   +16   -241  -450  510  
2014-11-22 12:22:49   +16   -240  -447  507  
2014-11-22 12:23:19   +18   -239  -453  512  
2014-11-22 12:23:49   +18   -240  -449  509  
2014-11-22 12:24:19   +13   -238  -448  507  
2014-11-22 12:24:49   +15   -244  -447  509  
2014-11-22 12:25:19   +18   -243  -440  502  
2014-11-22 12:25:49   +14   -246  -450  513  
2014-11-22 12:26:19   +23   -242  -444  506  
2014-11-22 12:26:49   +17   -244  -451  513  
2014-11-22 12:27:19   +10   -240  -448  508  
2014-11-22 12:27:49   +12   -243  -446  508  
2014-11-22 12:28:19   +13   -242  -444  505  
2014-11-22 12:28:49   +20   -244  -441  504  
2014-11-22 12:29:19   +12   -240  -437  498  
2014-11-22 12:29:49   +19   -239  -437  498  
2014-11-22 12:30:19   +20   -245  -437  501  
2014-11-22 12:30:49   +13   -248  -447  511  
2014-11-22 12:31:19   +22   -244  -435  499  
2014-11-22 12:31:49   +20   -244  -442  505  
2014-11-22 12:32:19   +17   -244  -441  504  
2014-11-22 12:32:49   +18   -246  -438  502  
2014-11-22 12:33:19   +17   -242  -433  496  
2014-11-22 12:33:49   +15   -242  -427  491  
2014-11-22 12:34:19   +18   -242  -437  499  
2014-11-22 12:34:49   +16   -244  -435  499  
2014-11-22 12:35:19   +17   -246  -435  500  
2014-11-22 12:35:49   +18   -241  -438  500  
2014-11-22 12:36:19   +14   -242  -439  501  
2014-11-22 12:36:49   +13   -242  -446  507  
2014-11-22 12:37:19   +13   -244  -451  512  
2014-11-22 12:37:49   +19   -245  -448  510  
2014-11-22 12:38:19   +18   -241  -437  499  
2014-11-22 12:38:50   +16   -242  -446  507  
2014-11-22 12:39:19   +15   -242  -437  499  
2014-11-22 12:39:49   +16   -243  -433  496  
2014-11-22 12:40:19   +18   -242  -443  505  
2014-11-22 12:40:49   +18   -247  -443  507  
2014-11-22 12:41:19   +17   -244  -443  506  
2014-11-22 12:41:49   +17   -238  -435  496  
2014-11-22 12:42:19   +21   -244  -435  499  
2014-11-22 12:42:49   +20   -242  -429  492  
2014-11-22 12:43:19   +19   -242  -431  494  
2014-11-22 12:43:49   +17   -245  -440  503  
2014-11-22 12:44:19   +19   -238  -443  503  
2014-11-22 12:44:49   +18   -241  -439  501  
2014-11-22 12:45:19   +17   -245  -435  499  
2014-11-22 12:45:49   +20   -244  -436  500  
2014-11-22 12:46:19   +21   -238  -439  499  
2014-11-22 12:46:49   +20   -245  -443  506  
2014-11-22 12:47:19   +22   -240  -446  506  
2014-11-22 12:47:49   +18   -242  -435  498  
2014-11-22 12:48:19   +18   -242  -439  501  
2014-11-22 12:48:49   +21   -241  -443  504  
2014-11-22 12:49:19   +15   -243  -438  501  
2014-11-22 12:49:49   +14   -243  -437  500  
2014-11-22 12:50:19   +21   -236  -443  502  
2014-11-22 12:50:49   +15   -239  -438  499  
2014-11-22 12:51:19   +17   -242  -438  500  
2014-11-22 12:51:49   +19   -242  -441  503  
2014-11-22 12:52:19   +22   -239  -451  510  
2014-11-22 12:52:49   +17   -236  -441  500  
2014-11-22 12:53:20   +21   -244  -439  502  
2014-11-22 12:53:49   +16   -239  -455  514  
2014-11-22 12:54:19   +15   -242  -447  508  
2014-11-22 12:54:49   +14   -244  -443  505  
2014-11-22 12:55:19   +16   -242  -440  502  
2014-11-22 12:55:49   +15   -240  -447  507  
2014-11-22 12:56:19   +19   -241  -437  499  
2014-11-22 12:56:49   +17   -244  -435  499  
2014-11-22 12:57:19   +12   -240  -443  503  
2014-11-22 12:57:49   +13   -242  -443  504  
2014-11-22 12:58:19   +17   -240  -441  502  
2014-11-22 12:58:49   +21   -238  -439  499  
2014-11-22 12:59:19   +14   -243  -441  503  
2014-11-22 12:59:49   +19   -238  -447  506  
2014-11-22 13:00:19   +21   -236  -436  496  
2014-11-22 13:00:49   +17   -243  -445  507  
2014-11-22 13:01:19   +24   -245  -446  509  
2014-11-22 13:01:49   +23   -238  -445  505  
2014-11-22 13:02:19   +17   -244  -447  509  
2014-11-22 13:02:49   +21   -243  -447  509  
2014-11-22 13:03:19   +19   -243  -446  508  
2014-11-22 13:03:49   +21   -243  -437  500  
2014-11-22 13:04:19   +17   -242  -436  498  
2014-11-22 13:04:49   +23   -246  -435  500  
2014-11-22 13:05:19   +18   -242  -442  504  
2014-11-22 13:05:49   +19   -243  -452  513  
2014-11-22 13:06:19   +20   -242  -442  504  
2014-11-22 13:06:49   +21   -242  -447  508  
2014-11-22 13:07:19   +22   -241  -442  503  
2014-11-22 13:07:49   +17   -244  -440  503  
2014-11-22 13:08:19   +13   -238  -437  497  
2014-11-22 13:08:49   +17   -240  -441  502  
2014-11-22 13:09:19   +19   -237  -442  501  
2014-11-22 13:09:49   +20   -239  -442  502  
2014-11-22 13:10:19   +18   -243  -447  509  
2014-11-22 13:10:49   +17   -240  -436  497  
2014-11-22 13:11:19   +20   -238  -442  502  
2014-11-22 13:11:49   +21   -242  -439  501  
2014-11-22 13:12:19   +17   -240  -439  500  
2014-11-22 13:12:49   +22   -240  -441  502  
2014-11-22 13:13:19   +17   -238  -441  501  
2014-11-22 13:13:49   +18   -236  -447  505  
2014-11-22 13:14:19   +17   -240  -437  498  
2014-11-22 13:14:49   +18   -236  -438  497  
2014-11-22 13:15:19   +19   -236  -429  489  
2014-11-22 13:15:49   +20   -236  -437  497  
2014-11-22 13:16:19   +28   -237  -445  504  
2014-11-22 13:16:49   +23   -242  -449  510  
2014-11-22 13:17:19   +19   -238  -446  505  
2014-11-22 13:17:49   +22   -240  -436  498  
2014-11-22 13:18:19   +11   -233  -447  504  
2014-11-22 13:18:49   +22   -238  -444  504  
2014-11-22 13:19:19   +22   -230  -439  496  
2014-11-22 13:19:50   +20   -236  -443  502  
2014-11-22 13:20:19   +20   -238  -437  498  
2014-11-22 13:20:49   +19   -240  -454  513  
2014-11-22 13:21:19   +20   -240  -445  505  
2014-11-22 13:21:49   +23   -234  -445  503  
2014-11-22 13:22:19   +20   -237  -442  501  
2014-11-22 13:22:49   +18   -238  -441  501  
2014-11-22 13:23:19   +15   -237  -444  503  
2014-11-22 13:23:49   +17   -242  -440  502  
2014-11-22 13:24:19   +22   -241  -449  510  
2014-11-22 13:24:49   +22   -236  -439  498  
2014-11-22 13:25:19   +18   -237  -453  511  
2014-11-22 13:25:49   +18   -235  -450  507  
2014-11-22 13:26:19   +12   -240  -452  511  
2014-11-22 13:26:49   +15   -241  -438  500  
2014-11-22 13:27:19   +13   -240  -438  499  
2014-11-22 13:27:49   +15   -238  -448  507  
2014-11-22 13:28:19   +17   -236  -441  500  
2014-11-22 13:28:49   +13   -239  -444  504  
2014-11-22 13:29:19   +15   -240  -438  499  
2014-11-22 13:29:49   +15   -232  -435  493  
2014-11-22 13:30:19   +18   -238  -436  497  
2014-11-22 13:30:49   +19   -236  -437  497  
2014-11-22 13:31:19   +18   -240  -444  505  
2014-11-22 13:31:49   +17   -245  -444  507  
2014-11-22 13:32:19   +25   -240  -439  500  
2014-11-22 13:32:49   +23   -242  -439  501  
2014-11-22 13:33:19   +18   -239  -442  502  
2014-11-22 13:33:49   +18   -240  -447  507  
2014-11-22 13:34:19   +20   -241  -451  511  
2014-11-22 13:34:49   +20   -240  -445  505  
2014-11-22 13:35:19   +18   -241  -440  502  
2014-11-22 13:35:49   +19   -237  -444  503  
2014-11-22 13:36:19   +16   -240  -446  506  
2014-11-22 13:36:49   +20   -241  -435  497  
2014-11-22 13:37:19   +19   -238  -443  503  
2014-11-22 13:37:49   +21   -239  -446  506  
2014-11-22 13:38:19   +21   -241  -439  501  
2014-11-22 13:38:49   +22   -239  -440  501  
2014-11-22 13:39:19   +19   -241  -446  507  
2014-11-22 13:39:49   +18   -244  -437  500  
2014-11-22 13:40:19   +21   -247  -440  505  
2014-11-22 13:40:49   +24   -243  -448  510  
2014-11-22 13:41:19   +18   -240  -441  502  
2014-11-22 13:41:49   +23   -241  -447  508  
2014-11-22 13:42:19   +21   -243  -444  506  
2014-11-22 13:42:49   +17   -235  -443  501  
2014-11-22 13:43:19   +20   -243  -437  500  
2014-11-22 13:43:49   +16   -241  -448  508  
2014-11-22 13:44:19   +18   -242  -448  509  
2014-11-22 13:44:49   +20   -239  -445  505  
2014-11-22 13:45:19   +20   -238  -442  502  
2014-11-22 13:45:49   +20   -239  -432  494  
2014-11-22 13:46:19   +22   -244  -440  503  
2014-11-22 13:46:49   +23   -244  -443  506  
2014-11-22 13:47:19   +24   -246  -441  505  
2014-11-22 13:47:49   +22   -244  -432  496  
2014-11-22 13:48:19   +16   -240  -437  498  
2014-11-22 13:48:49   +22   -242  -435  498  
2014-11-22 13:49:20   +24   -243  -437  500  
2014-11-22 13:49:49   +19   -242  -445  506  
2014-11-22 13:50:19   +21   -243  -446  508  
2014-11-22 13:50:49   +17   -241  -440  501  
2014-11-22 13:51:19   +28   -241  -433  496  
2014-11-22 13:51:49   +26   -239  -438  499  
2014-11-22 13:52:19   +22   -239  -440  501  
2014-11-22 13:52:49   +26   -237  -436  496  
2014-11-22 13:53:19   +23   -241  -437  499  
2014-11-22 13:53:49   +25   -241  -432  495  
2014-11-22 13:54:19   +20   -239  -438  499  
2014-11-22 13:54:49   +24   -241  -438  500  
2014-11-22 13:55:19   +22   -241  -438  500  
2014-11-22 13:55:49   +20   -239  -435  496  
2014-11-22 13:56:19   +19   -242  -435  498  
2014-11-22 13:56:49   +22   -240  -439  500  
2014-11-22 13:57:19   +20   -240  -438  499  
2014-11-22 13:57:49   +19   -240  -440  501  
2014-11-22 13:58:19   +20   -234  -440  498  
2014-11-22 13:58:49   +24   -238  -434  495  
2014-11-22 13:59:19   +20   -234  -432  491  
2014-11-22 13:59:49   +23   -242  -431  494  
2014-11-22 14:00:19   +24   -245  -438  502  
2014-11-22 14:00:49   +16   -242  -440  502  
2014-11-22 14:01:19   +21   -244  -431  495  
2014-11-22 14:01:49   +15   -242  -439  501  
2014-11-22 14:02:19   +20   -242  -435  498  
2014-11-22 14:02:49   +21   -242  -441  503  
2014-11-22 14:03:19   +19   -244  -431  495  
2014-11-22 14:03:49   +21   -237  -428  489  
2014-11-22 14:04:19   +21   -241  -431  494  
2014-11-22 14:04:49   +22   -238  -435  496  
2014-11-22 14:05:19   +22   -238  -431  492  
2014-11-22 14:05:49   +18   -239  -429  491  
2014-11-22 14:06:19   +19   -236  -438  497  
2014-11-22 14:06:49   +21   -243  -441  503  
2014-11-22 14:07:19   +22   -239  -439  500  
2014-11-22 14:07:49   +22   -241  -430  493  
2014-11-22 14:08:19   +23   -244  -435  499  
2014-11-22 14:08:49   +23   -241  -432  495  
2014-11-22 14:09:19   +20   -242  -434  497  
2014-11-22 14:09:49   +19   -239  -447  507  
2014-11-22 14:10:19   +21   -242  -438  500  
2014-11-22 14:10:49   +18   -244  -445  507  
2014-11-22 14:11:19   +22   -243  -443  505  
2014-11-22 14:11:49   +22   -243  -437  500  
2014-11-22 14:12:19   +18   -239  -440  501  
2014-11-22 14:12:49   +20   -239  -443  503  
2014-11-22 14:13:19   +23   -239  -445  505  
2014-11-22 14:13:49   +26   -244  -440  503  
2014-11-22 14:14:49   +23   -243  -445  507  
2014-11-22 14:15:49   +20   -243  -438  501  
2014-11-22 14:16:49   +22   -241  -435  497  
2014-11-22 14:17:19   +21   -236  -439  498  
2014-11-22 14:17:49   +21   -240  -432  494  
2014-11-22 14:18:19   +17   -235  -438  497  
2014-11-22 14:18:49   +17   -236  -433  493  
2014-11-22 14:19:19   +19   -239  -443  503  
